,Importance
b2780,2.1724895730467308e-07
b0052,2.1543288173285167e-07
b0432,2.1327365765525848e-07
b2507,2.1062480046896594e-07
b3117,2.1018546794772004e-07
b4208,2.098880029775371e-07
b2316,2.029451905594521e-07
b1261,2.0287758493202743e-07
b1084,2.0234588135657474e-07
b2279,2.0231901369376924e-07
b0452,2.0214424199930765e-07
b2320,1.984512295908509e-07
b2762,1.9778814091947827e-07
b2794,1.9688673011309942e-07
b1281,1.9438476158381996e-07
b4041,1.9388290069893334e-07
b1109,1.9313824421839022e-07
b2283,1.920326689751444e-07
b1761,1.9119520772691806e-07
b0418,1.8954650840128094e-07
b2288,1.888823862308392e-07
b3028,1.884511883905436e-07
b2285,1.876778814990253e-07
b2836,1.8646438201238315e-07
b3430,1.8539797820357553e-07
b2905,1.8535373924079385e-07
b2512,1.8487311906115186e-07
b0827,1.841002251810251e-07
b3892,1.838352809134788e-07
b1118,1.83707856353517e-07
b1622,1.8351088876112485e-07
b2114,1.8061277697252714e-07
b0526,1.7936119113972178e-07
b1208,1.78980731839529e-07
b0723,1.7746713216409655e-07
b2022,1.7681750214339027e-07
b0910,1.7538502030054407e-07
b3893,1.718180505559802e-07
b4160,1.7023980914695216e-07
b0242,1.6709045087178348e-07
b3040,1.6623689440271633e-07
b0826,1.6492497757584682e-07
b3256,1.6448769506540218e-07
b0522,1.6241873004699346e-07
b3926,1.5987496733998918e-07
b3198,1.5954161994920813e-07
b1612,1.5898273063230235e-07
b0243,1.573988320368018e-07
b0657,1.556107933713235e-07
b2599,1.5493754678928007e-07
b3168,1.546633661312797e-07
b0724,1.5428054552004185e-07
b4005,1.4641734485612485e-07
b0627,1.4473439163440806e-07
b1249,1.445055428503318e-07
b2323,1.436442120660799e-07
b1719,1.4277556275650906e-07
b2895,1.426712206256823e-07
b3958,1.4001963943097332e-07
b3197,1.3925165648316472e-07
b1637,1.3766300233532172e-07
b0091,1.3656007941714035e-07
b2746,1.3649937708509317e-07
b1611,1.3343145393956383e-07
b3429,1.3231197488409634e-07
b0077,1.3095277437589686e-07
b1661,1.2909766850246285e-07
b2835,1.260113309290819e-07
b1209,1.2524908174550923e-07
b1116,1.2431667338058137e-07
b3433,1.237701430677206e-07
b2904,1.2282197360367834e-07
b3260,1.2079043619526315e-07
b2866,1.2003339450801087e-07
b2282,1.1854723092158839e-07
b1704,1.1773793399535928e-07
b4094,1.1773125907314037e-07
b2943,1.1370792240778262e-07
b3164,1.1235666709693907e-07
b2280,1.1109351184446297e-07
b0009,1.1037130448435239e-07
b2601,1.0905550972715752e-07
b1849,1.0667921422332616e-07
b2133,1.0610602071112032e-07
b2557,1.0466637725901816e-07
b4006,1.0356321859084911e-07
b3059,1.0286680346107793e-07
b0417,1.0133483574966849e-07
b1098,1.0078926360773523e-07
b3396,9.738569882612711e-08
b0078,9.616147449367429e-08
b4375,9.566238775318851e-08
b2312,9.490203658546753e-08
b0785,9.444893194775259e-08
b1621,9.382726778487517e-08
b0781,9.303945870447913e-08
b0004,9.233207253305682e-08
b4177,9.141969883113108e-08
b3940,8.803873173424237e-08
b2286,8.238742371910152e-08
b1380,8.233787927927651e-08
b2508,8.191598714905964e-08
b3640,8.157983088879534e-08
b2476,8.108504637731113e-08
b3980,7.961579510014772e-08
b2251,7.825746895689384e-08
b1764,7.598486140940759e-08
b2868,7.529890438065763e-08
b2828,7.194016651780453e-08
b2867,6.94714789516137e-08
b0048,6.625616291069077e-08
b3780,6.578688415752934e-08
b2379,6.445504823604351e-08
b1260,6.275810323904015e-08
b2914,6.000510425024917e-08
b2284,5.989371404910189e-08
b1606,5.9496158716334476e-08
b1662,5.780275500454457e-08
b2942,5.573950582948682e-08
b1092,5.469281409876784e-08
b2890,5.197250737410573e-08
b0156,5.1628220394650876e-08
b1215,5.088247500971722e-08
b2515,4.856775866173727e-08
b1278,4.849597188642117e-08
b1069,4.848093994272603e-08
b2519,4.056968617454013e-08
b2276,3.992912770626166e-08
b0073,3.804225585354839e-08
b3058,3.547734730306554e-08
b2526,3.427237262267319e-08
b1206,3.282993070073485e-08
b0029,3.129607074217842e-08
b0415,3.0766618553220515e-08
b3639,3.058007839784451e-08
b1922,2.987445650678791e-08
b3633,2.9740791897827317e-08
b1865,2.914834486913809e-08
b2388,2.8849500391662956e-08
b3172,2.842662716311623e-08
b0027,2.6484104841484472e-08
b2235,2.481659171034934e-08
b1114,2.4815691198784064e-08
b0381,2.4645196752472515e-08
b3634,2.449607251463769e-08
b2615,2.4367499264031227e-08
b2315,2.419275336639379e-08
b1812,2.2945295071068995e-08
b1718,2.2907633860778288e-08
b0929,2.290301294523976e-08
b0915,2.080410811006181e-08
b3247,2.0356516574366572e-08
b1415,1.94959258278759e-08
b0087,1.8756928212688333e-08
b3464,1.7671150177163444e-08
b1093,1.7514630916174317e-08
b4162,1.7026194968100758e-08
b0159,1.6837429098831128e-08
b2567,1.647985481102585e-08
b3783,1.5395580945046282e-08
b0149,1.4956000600328773e-08
b3288,1.4874657117818823e-08
b2210,1.4112940807171053e-08
b0154,1.4055461450242375e-08
b2574,1.3811670033161933e-08
b0103,1.2758762035967496e-08
b0425,1.2619154447834738e-08
b1652,1.2591477710771501e-08
b1096,1.2256087206557753e-08
b1748,1.1893145768425678e-08
b0903,1.0789735094492675e-08
b3029,9.978777026508137e-09
b0884,9.42989085067376e-09
b0134,9.200078016956425e-09
b0142,9.188395395643451e-09
b3591,8.589659532095897e-09
b4244,8.387249963953422e-09
b1682,8.293432597300886e-09
b0131,8.263871568004852e-09
b3612,8.26070028067999e-09
b0421,6.4061295635819e-09
b3643,6.257995289775702e-09
b0099,5.591170349099159e-09
b3177,5.31678002176084e-09
b2140,5.137828703979514e-09
b3974,4.887373063752398e-09
b3807,4.483829610470204e-09
b0423,4.186289451615034e-09
b0406,3.783907049411229e-09
b3169,3.386533351426262e-09
b3166,2.3680700458352197e-09
b2579,2.349772833136659e-09
b1211,2.287252202639232e-09
b2234,2.1317401908451215e-09
b3704,2.015497588322744e-09
b2891,2.003748875796627e-09
b0133,1.8660303273903122e-09
b0521,1.5068603845335298e-09
b2979,1.3445790387521139e-09
b2425,1.2667127772078283e-09
b4049,1.202159406483126e-09
b1602,1.1955443852739252e-09
b1683,1.1901790905562515e-09
b0172,1.1413616546687472e-09
b0635,1.0145531314525077e-09
b1681,8.961560926394845e-10
b1680,8.765871415800047e-10
b2987,5.952067238061132e-10
b2527,5.305956200519419e-10
b0789,3.6439859935852673e-10
b0948,2.8895479048565367e-10
b3965,2.3319398492226727e-10
b2318,2.12327043844548e-10
b0524,2.1159371736450307e-10
b1679,1.5857853081012356e-10
b4467,1.5284610845702623e-10
b0388,1.1716390172126715e-10
b2528,2.0783262526099745e-12
b3994,0.0
b3816,0.0
b0636,0.0
b0428,0.0
b1822,0.0
b3831,0.0
b4371,0.0
b3992,0.0
b4468,0.0
b3835,0.0
b4407,0.0
b3857,0.0
b3856,0.0
b3991,0.0
b3850,0.0
b4382,0.0
b1386,0.0
b0661,0.0
b3997,0.0
b4374,0.0
b0630,0.0
b3990,0.0
b0058,0.0
b1654,0.0
b1288,0.0
b1684,0.0
b1344,0.0
b3982,0.0
b4166,0.0
b4171,0.0
b0605,0.0
b3993,0.0
b3942,0.0
b1269,0.0
b4040,0.0
b0416,0.0
b0628,0.0
b0051,0.0
b4180,0.0
b4039,0.0
b0475,0.0
b0007,0.0
b4022,0.0
b1603,0.0
b0030,0.0
b3924,0.0
b4067,0.0
b0606,0.0
b2594,0.0
b3805,0.0
b3804,0.0
b2464,0.0
b2436,0.0
b0188,0.0
b3084,0.0
b3089,0.0
b2424,0.0
b2423,0.0
b2422,0.0
b3146,0.0
b1133,0.0
b3167,0.0
b3179,0.0
b3181,0.0
b1135,0.0
b0180,0.0
b3187,0.0
b3196,0.0
b0902,0.0
b1190,0.0
b2324,0.0
b0859,0.0
b2474,0.0
b2960,0.0
b2946,0.0
b1059,0.0
b2607,0.0
b2608,0.0
b1091,0.0
b2575,0.0
b2566,0.0
b2563,0.0
b1086,0.0
b2559,0.0
b2532,0.0
b0969,0.0
b0931,0.0
b2765,0.0
b2785,0.0
b2791,0.0
b2796,0.0
b2806,0.0
b0967,0.0
b2517,0.0
b2501,0.0
b0937,0.0
b3282,0.0
b3287,0.0
b3289,0.0
b1238,0.0
b0764,0.0
b0763,0.0
b3590,0.0
b0369,0.0
b2183,0.0
b3649,0.0
b3651,0.0
b1210,0.0
b3706,0.0
b1250,0.0
b2232,0.0
b1871,0.0
b1870,0.0
b3740,0.0
b3741,0.0
b3747,0.0
b3752,0.0
b0405,0.0
b1835,0.0
b3803,0.0
b3500,0.0
b3475,0.0
b0174,0.0
b0776,0.0
b0173,0.0
b0168,0.0
b0125,0.0
b2311,0.0
b0351,0.0
b0807,0.0
b0784,0.0
b0778,0.0
b0777,0.0
b0775,0.0
b3470,0.0
b3343,0.0
b3344,0.0
b3345,0.0
b0774,0.0
b3360,0.0
b0765,0.0
b3406,0.0
b3412,0.0
b3465,0.0
b2745,0.0
